"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ClustOfVar","ClustOfVar","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.1",NA,"R (>= 3.0.0)","PCAmixdata",NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"codetools.1","codetools","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"colourpicker","colourpicker","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.1.1",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"compiler","compiler","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,NA,NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"correlation","correlation","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.8.1",NA,"R (>= 3.4)","bayestestR (>= 0.12.1), datasets, datawizard (>= 0.4.1),
insight (>= 0.17.1), parameters (>= 0.17.0), stats",NA,"BayesFactor, poorman, energy, forcats, ggcorrplot, ggplot2,
ggraph, gt, Hmisc, knitr, lme4, mbend, polycor, ppcor, psych,
rmarkdown, rmcorr, rstanarm, see, spelling, testthat (>=
3.0.1), tidyr, tidygraph, wdm, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"data.tree","data.tree","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.0",NA,"R (>= 3.5)","R6, stringi, methods",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, treemap, party, partykit, doParallel,
foreach, htmlwidgets, DiagrammeR (>= 1.0.0), mockery, rpart","igraph","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"datasets","datasets","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,NA,NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,NA,"4.0.5"
"datawizard","datawizard","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.4.1",NA,"R (>= 3.4)","insight (>= 0.17.1), stats, utils",NA,"bayestestR, biglm, boot, brms, data.table, effectsize, gamm4,
ggplot2, haven, httr, knitr, lme4, MASS, mediation, modelbased,
parameters, poorman, psych, readxl, readr, rio, rmarkdown,
rstanarm, see, spelling, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"dbscan","dbscan","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.1-10",NA,NA,"Rcpp (>= 1.0.0), graphics, stats","Rcpp","fpc, microbenchmark, testthat, dendextend, igraph, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"DescTools","DescTools","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.99.45",NA,"base, stats, R (>= 3.6.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld, data.table,
readxl, httr","Rcpp, BH","RDCOMClient, tcltk, VGAM, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"Distance","Distance","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.5",NA,"R (>= 3.0), mrds (>= 2.2.1)","dplyr, rlang",NA,"covr, progress, parallel, doParallel, doRNG, foreach,
activity, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"dplyr","dplyr","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.9",NA,"R (>= 3.4.0)","generics, glue (>= 1.3.2), lifecycle (>= 1.0.1), magrittr (>=
1.5), methods, R6, rlang (>= 1.0.2), tibble (>= 2.1.3),
tidyselect (>= 1.1.1), utils, vctrs (>= 0.4.1), pillar (>=
1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.1.1),
tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"dsm","dsm","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.3.2",NA,"R (>= 3.5.0), mgcv (>= 1.8-23), mrds (>= 2.1.16), numDeriv","nlme, ggplot2, plyr, statmod",NA,"Distance, sp, tweedie, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"Exact","Exact","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1",NA,"R (>= 3.5.0)","graphics, stats, utils, rootSolve",NA,"ExactData",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"flexdashboard","flexdashboard","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.5.2",NA,"R (>= 3.0.2)","tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.10.3), shiny (>= 0.13)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"forecastHybrid","forecastHybrid","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","5.0.19",NA,"R (>= 3.1.1), forecast (>= 8.12), thief","doParallel (>= 1.0.10), foreach (>= 1.4.3), ggplot2 (>=
2.2.0), purrr (>= 0.2.5), zoo (>= 1.7)",NA,"GMDH, knitr, rmarkdown, roxygen2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"foreign.1","foreign","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.8-82","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"funtimes","funtimes","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","8.2",NA,"R (>= 3.0.0)","Jmisc, Kendall, Rdpack, FNN, dbscan, igraph",NA,"covid19us, Ecdat, ggplot2, gridExtra, knitr, patchwork,
randomcoloR, readxl, reshape2, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"gamclass","gamclass","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.62.3",NA,"R (>= 3.5.0)","rpart, randomForest, lattice, latticeExtra, methods",NA,"leaps, quantreg, sp, diagram, oz, forecast, kernlab, Ecdat,
mlbench, DAAGbio, car, mgcv, DAAG, MASS, ape,
KernSmooth,knitr,prettydoc,rmarkdown,bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"GGally.1","GGally","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"ggExtra","ggExtra","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.10.0",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, shinydisconnect, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggforce","ggforce","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"ggmap","ggmap","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"ggpmisc","ggpmisc","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.4.7",NA,"R (>= 3.6.0), ggpp (>= 0.4.4)","grid, stats, ggplot2 (>= 3.3.5), scales (>= 1.2.0), rlang (>=
1.0.0), generics (>= 0.1.2), MASS (>= 7.3-51.6), polynom (>=
1.4-0), quantreg (>= 5.93), lmodel2 (>= 1.7-3), splus2R (>=
1.3-3), tibble (>= 3.1.5), plyr (>= 1.8.6), dplyr (>= 1.0.6),
lubridate (>= 1.7.10)",NA,"knitr (>= 1.39), rmarkdown (>= 2.14), ggrepel (>= 0.9.1),
broom (>= 0.8.0), broom.mixed (>= 0.2.9.4), nlme (>= 3.1-152),
gginnards (>= 0.1.0-1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"ggpp","ggpp","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.4.4",NA,"R (>= 3.6.0), ggplot2 (>= 3.3.2)","stats, grid, rlang (>= 0.4.7), magrittr (>= 1.5), glue (>=
1.4.2), gridExtra (>= 2.3), scales (>= 1.1.1), tibble (>=
3.0.3), dplyr (>= 1.0.2), xts (>= 0.12-0), zoo (>= 1.8-8), MASS
(>= 7.3-51.6), polynom (>= 1.4-0), lubridate (>= 1.7.9),
stringr (>= 1.4.0)",NA,"knitr (>= 1.29), rmarkdown (>= 2.3), gginnards(>= 0.1.0),
ggrepel (>= 0.9.1), magick (>= 2.6.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"ggsci.1","ggsci","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ggthemes","ggthemes","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"gld","gld","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.6.4",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"gplots","gplots","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"graphics","graphics","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,"grDevices",NA,NA,NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"grDevices","grDevices","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"grid","grid","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,"grDevices, utils",NA,"lattice",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"grpreg","grpreg","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.4.0",NA,"R (>= 3.1.0)","Matrix",NA,"knitr, rmarkdown, splines, survival, tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"gt","gt","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.6.0",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 1.0.8), fs (>= 1.5.2), ggplot2
(>= 3.3.5), glue (>= 1.6.1), htmltools (>= 0.5.2), magrittr (>=
2.0.2), rlang (>= 1.0.1), sass (>= 0.4.0), scales (>= 1.1.1),
stringr (>= 1.4.0), tibble (>= 3.1.6), tidyselect (>= 1.1.1)",NA,"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
lubridate, rmarkdown, rvest, shiny, tidyr, webshot, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"gtsummary","gtsummary","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.6.1",NA,"R (>= 3.4)","broom (>= 0.8.0), broom.helpers (>= 1.7.0), cli (>= 3.1.1),
dplyr (>= 1.0.7), forcats (>= 0.5.1), glue (>= 1.6.0), gt (>=
0.6.0), knitr (>= 1.37), lifecycle (>= 1.0.1), purrr (>=
0.3.4), rlang (>= 0.4.12), stringr (>= 1.4.0), tibble (>=
3.1.6), tidyr (>= 1.1.4)",NA,"aod (>= 1.3.1), broom.mixed (>= 0.2.7), car (>= 3.0-11),
cmprsk, covr, effectsize (>= 0.6.0), emmeans (>= 1.7.3),
flextable (>= 0.6.10), geepack, GGally (>= 2.1.0), Hmisc,
huxtable (>= 5.4.0), insight (>= 0.15.0), kableExtra (>=
1.3.4), lme4, mgcv, mice (>= 3.10.0), nnet, officer, openxlsx,
parameters (>= 0.18.1), parsnip (>= 0.1.7), rmarkdown, sandwich
(>= 3.0.1), scales, smd (>= 0.6.6), spelling (>= 2.2), survey,
survival (>= 3.2-11), testthat (>= 3.0.4), tidycmprsk (>=
0.1.2), workflows (>= 0.2.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"here.1","here","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"htmltools.1","htmltools","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"hts","hts","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","6.0.2",NA,"R (>= 3.2.0), forecast (>= 8.12)","SparseM, Matrix, parallel, utils, methods, graphics,
grDevices, stats","Rcpp (>= 0.11.0), RcppEigen","testthat, knitr, rmarkdown, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"huxtable","huxtable","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","5.4.0",NA,"R (>= 2.10)","assertthat, commonmark, generics, glue, memoise, R6, rlang,
stats, stringi, stringr (>= 1.2.0), tidyselect, utils, xml2",NA,"AER, bookdown, broom (>= 0.5.1), broom.mixed, covr, crayon,
devtools, dplyr (>= 0.7.0), fansi, flextable (>= 0.5.5),
ftExtra (>= 0.0.2), ggplot2, httr, knitr, lme4, lmtest, nlme,
nnet, officer, openxlsx, psych, rmarkdown, sandwich, scales,
testthat, tibble, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"Information","Information","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.0.9",NA,"R (>= 3.1.2)","data.table, ggplot2, grid, plyr, utils, iterators, doParallel,
parallel, foreach",NA,"knitr, reshape2, ClustOfVar, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"insight","insight","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.17.1",NA,"R (>= 3.4)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl, gt,
httr, ivreg, JM, knitr, lavaan, lfe, lme4, lmerTest, lmtest,
logistf, MASS, marginaleffects, Matrix, mclust, MCMCglmm,
merTools, metaBMA, mgcv, mice, mlogit, mhurdle, multgee, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, pscl, psych, quantreg, rmarkdown,
rms, robustbase, robustlmm, rstanarm (>= 2.21.1), rstantools,
rstudioapi, sandwich, speedglm, spelling, splines, statmod,
survey, survival, testthat, tripack, truncreg, tweedie, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"itsadug","itsadug","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.4",NA,"R (>= 4.0), mgcv (>= 1.8), plotfunctions (>= 1.4)",NA,NA,"knitr, xtable, sp, data.table",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"Jmisc","Jmisc","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"kableExtra","kableExtra","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"Kendall","Kendall","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.2.1",NA,"R (>= 2.1.0)","boot",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"KernSmooth.1","KernSmooth","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.0.5"
"labelled","labelled","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.9.1",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL-3",NA,NA,NA,NA,"no","4.0.5"
"lattice","lattice","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"lmodel2","lmodel2","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.7-3",NA,"R (>= 2.14.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"lmom","lmom","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.9",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.0.5"
"lsr","lsr","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.5.2",NA,NA,"graphics, grDevices, methods, stats",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"magrittr.1","magrittr","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"MASS.1","MASS","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","7.3-56","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"Matrix.1","Matrix","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.4-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.5"
"methods","methods","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"Metrics","Metrics","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","0.1.4",NA,NA,NA,NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"mgcv","mgcv","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.8-40","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"Morpho.1","Morpho","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.9",NA,"R (>= 3.2.0)","Rvcg (>= 0.7), rgl (>= 0.100.18), foreach (>= 1.4.0), Matrix
(>= 1.0-1), MASS, parallel, doParallel (>= 1.0.6), colorRamps,
Rcpp, graphics, grDevices, methods, stats, utils, jsonlite,
bezier","Rcpp, RcppArmadillo (>= 0.4)","car, lattice, shapes, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"mrds","mrds","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.2.6",NA,"R (>= 3.0)","optimx (>= 2013.8.6), mgcv, methods, numDeriv, Rsolnp",NA,"testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"multcomp","multcomp","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.4-19",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"nlme.1","nlme","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1-157","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"nnet.1","nnet","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"parallel","parallel","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.0.5","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"PCAmixdata","PCAmixdata","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1",NA,NA,"graphics",NA,"knitr, rmarkdown",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"piecewiseSEM","piecewiseSEM","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","2.1.2",NA,"R (>= 4.0.0)","car, DiagrammeR, emmeans, igraph, lme4, multcomp, MASS,
methods, nlme",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"plotfunctions","plotfunctions","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.4",NA,"R (>= 2.10)",NA,NA,"knitr, sp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"quantreg.1","quantreg","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","5.93",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, akima, rgl, logspline, nor1mix, Formula, zoo, R.rsp,
conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"randomForestSRC","randomForestSRC","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1.0",NA,"R (>= 3.6.0),","parallel, data.tree, DiagrammeR",NA,"survival, pec, prodlim, mlbench, akima, caret, imbalance,
cluster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"regclass","regclass","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.6",NA,"R (>= 3.6), bestglm, leaps, VGAM, rpart, randomForest","rpart.plot",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"rlang.1","rlang","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.2",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rootSolve","rootSolve","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.8.2.3",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"ROracle","ROracle","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.3-1.1",NA,"methods, DBI (>= 0.2-5)","utils",NA,NA,NA,"LGPL",NA,NA,NA,NA,"yes","4.0.5"
"rpart","rpart","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","4.1.16","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"rpart.plot","rpart.plot","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","3.1.0",NA,"R (>= 3.4.0), rpart (>= 4.1-15)",NA,NA,"earth (>= 5.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"s2.1","s2","C:/Users/sarah.salois/Documents/r/R-4.0.5/library","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.0.5"
